,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,validation,luby_cst,seed
1636,pilot,3653,1671,6104163,543,610,8157,399,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,4:2:10,no-solution-to-validate,20,3
1637,cycle,2858,3119,8914102,839,936,392004,446,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,20,3
1638,bnl2,3490,3512,12256880,1100,382,130366,211,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,20,3
1639,pilot87,4884,2256,11018304,703,1591,55769,133,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,20,3
1640,afiro,33,34,1122,11,5,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:0:1,valid-solution,32,3
1641,kb2,42,60,2520,17,12,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1642,sc50a,49,71,3479,19,13,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1643,sc50b,49,71,3479,21,14,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1644,adlittle,98,68,6664,17,22,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1645,blend,84,116,9744,32,26,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1646,share2b,80,107,8560,24,8,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1647,sc105,104,151,15704,48,19,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1648,stocfor1,112,165,18480,38,5,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1649,recipe,181,159,28779,52,52,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1650,scagr7,141,180,25380,29,19,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1651,israel,143,164,23452,36,30,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1652,fit1d,1027,26,26702,5,119,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:3:38,valid-solution,32,3
1653,share1b,226,197,44522,3,43,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1654,boeing2,163,185,30155,2,13,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1655,vtp.base,204,250,51000,76,69,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1656,sc205,204,295,60180,90,20,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1657,grow7,302,281,84862,50,55,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1658,beaconfd,263,264,69432,82,67,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1659,lotfi,309,242,74778,69,42,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1660,brandy,250,305,76250,98,73,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1661,scsd1,761,155,117955,21,224,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1662,e226,283,206,58298,54,19,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:1:30,valid-solution,32,3
1663,forplan,423,246,104058,72,95,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1664,bore3d,316,381,120396,133,100,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1665,agg,164,495,81180,60,32,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1666,capri,354,404,143016,113,1,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1667,scorpion,359,565,202835,127,116,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1668,bandm,473,539,254947,168,99,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1669,sctap1,481,421,202501,137,89,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1670,scfxm1,458,469,214802,94,16,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1671,agg2,303,545,165135,180,97,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1672,agg3,303,545,165135,171,102,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1673,boeing1,474,446,211404,107,136,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1674,stair,468,566,264888,150,26,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1675,grow15,646,601,388246,168,121,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1676,tuff,588,622,365736,183,155,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1677,scsd6,1351,295,398545,16,420,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1678,scagr25,501,648,324648,154,145,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1679,degen2,535,666,356310,118,27,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1680,etamacro,689,673,463697,191,182,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1681,finnis,615,522,321030,167,147,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1682,standata,1076,516,555216,63,283,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1683,pilot4,1001,682,682682,208,182,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1684,grow22,947,881,834307,265,251,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1685,standgub,1185,520,616200,120,250,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1686,fffff800,855,829,708795,192,224,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1687,standmps,1076,732,787632,34,296,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1688,seba,1036,1030,1067080,227,82,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1689,scrs8,1170,863,1009710,169,154,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1690,ship04s,1459,573,836007,188,318,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1691,scfxm2,915,937,857355,282,165,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1692,wood1p,2595,487,1263765,107,555,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1693,gfrd-pnc,1093,1133,1238369,224,77,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1694,bnl1,1176,821,965496,261,325,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1695,ship04l,2119,749,1587131,115,641,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1696,perold,1377,1117,1538109,20,419,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1697,shell,1776,1071,1902096,342,485,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1698,fit1p,1678,1255,2105890,357,369,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1699,scsd8,2751,795,2187045,267,832,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1700,modszk1,1621,1373,2225633,335,223,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1701,maros,1444,1147,1656268,132,180,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1702,25fv47,1572,1276,2005872,328,502,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1703,scfxm3,1372,1405,1927660,308,248,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1704,ship08s,2388,885,2113380,266,489,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1705,pilot.ja,1989,1598,3178422,436,562,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1706,nesm,3012,1231,3707772,246,91,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1707,pilot.we,2790,1306,3643740,208,294,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1708,sctap2,1881,1561,2936241,361,269,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1709,pilotnov,2173,1673,3635429,259,720,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1710,ganges,1682,2250,3784500,482,383,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1711,sierra,2037,1756,3576972,273,484,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1712,degen3,1819,2221,4039999,639,407,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1713,ship12s,2764,1045,2888380,175,902,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1714,czprob,3524,1439,5071036,241,1013,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1715,ship08l,4284,1429,6121836,469,929,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1716,sctap3,2481,2101,5212581,610,620,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1717,stocfor2,2032,3285,6675120,1063,624,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1718,pilot,3653,1671,6104163,229,1208,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1719,cycle,2858,3119,8914102,1034,606,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1720,bnl2,3490,3512,12256880,749,1082,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1721,pilot87,4884,2256,11018304,175,1594,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,32,3
1722,afiro,33,34,1122,8,6,86,5,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1723,kb2,42,60,2520,12,5,109,14,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1724,sc50a,49,71,3479,12,9,267,4,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1725,sc50b,49,71,3479,18,4,126,12,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1726,adlittle,98,68,6664,20,27,27,6,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1727,blend,84,116,9744,36,23,456,17,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1728,share2b,80,107,8560,31,17,261,0,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1729,sc105,104,151,15704,4,19,794,19,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1730,stocfor1,112,165,18480,56,13,232,23,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1731,recipe,181,159,28779,21,52,1329,36,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1732,scagr7,141,180,25380,45,26,1024,25,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1733,israel,143,164,23452,48,43,1338,3,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1734,fit1d,1027,26,26702,6,111,803,1,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1735,share1b,226,197,44522,52,1,3464,36,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1736,boeing2,163,185,30155,9,25,1914,33,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1737,vtp.base,204,250,51000,54,59,496,3,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1738,sc205,204,295,60180,91,47,3705,9,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1739,grow7,302,281,84862,20,84,1553,37,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1740,beaconfd,263,264,69432,89,86,1448,11,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1741,lotfi,309,242,74778,59,73,2923,8,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1742,brandy,250,305,76250,89,54,4360,19,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1743,scsd1,761,155,117955,13,155,5955,27,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1744,e226,283,206,58298,61,63,1590,24,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1745,forplan,423,246,104058,60,135,115,23,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1746,bore3d,316,381,120396,117,63,332,2,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1747,agg,164,495,81180,27,32,7483,56,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1748,capri,354,404,143016,109,101,3572,95,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1749,scorpion,359,565,202835,172,104,1936,86,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1750,bandm,473,539,254947,53,147,8231,32,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1751,sctap1,481,421,202501,108,137,10661,65,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1752,scfxm1,458,469,214802,106,61,4866,24,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1753,agg2,303,545,165135,86,28,496,10,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1754,agg3,303,545,165135,122,58,3574,17,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1755,boeing1,474,446,211404,127,101,4905,111,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1756,stair,468,566,264888,38,48,7586,119,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1757,grow15,646,601,388246,155,77,6346,113,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1758,tuff,588,622,365736,24,190,13368,77,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1759,scsd6,1351,295,398545,97,429,29373,38,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1760,scagr25,501,648,324648,151,157,19995,5,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1761,degen2,535,666,356310,26,131,4207,162,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1762,etamacro,689,673,463697,210,138,31253,124,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1763,finnis,615,522,321030,172,63,2473,85,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1764,standata,1076,516,555216,173,283,33442,93,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1765,pilot4,1001,682,682682,102,316,46311,80,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1766,grow22,947,881,834307,233,307,371,91,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1767,standgub,1185,520,616200,162,301,13396,59,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1768,fffff800,855,829,708795,234,229,16055,29,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1769,standmps,1076,732,787632,97,260,3607,16,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1770,seba,1036,1030,1067080,39,273,43856,30,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1771,scrs8,1170,863,1009710,267,400,70304,41,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1772,ship04s,1459,573,836007,179,66,17763,132,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1773,scfxm2,915,937,857355,291,291,12396,7,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1774,wood1p,2595,487,1263765,154,667,307178,116,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
1775,gfrd-pnc,1093,1133,1238369,302,333,5736,101,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,32,3
